name,degree,city,district,address,location,phone,website,description,sid
金山温泉度假村,AAAA,江门市,恩平市,广东省江门市恩平市金山温泉度假村,"112.200115,22.106002",0750--7281188,www.jinshanhotspring.com,,1
立园,AAAA,江门市,开平市,广东省江门市开平市立园,"112.566015,22.349559",0750--2678888,www.kptour.com,,2
圭峰山,AAAA,江门市,新会区,广东省江门市新会区圭峰山,"113.033806,22.540264",0750--6173312,www.gdguifeng.com,,3
锦江温泉,AAAA,江门市,台山市,广东省江门市台山市温泉,"112.751176,22.182768",0750--7333333,www.jjwq.com,,4
古兜温泉,AAAA,江门市,新会区,广东省江门市新会区古兜温泉,"113.022589,22.151778",0750--6452222,www.gudouhotspring.com,,5
川岛旅游区,AAAA,江门市,台山市,广东省江门市台山市川岛,"112.692376,21.848204",0750--5381023,www.chuanshanislands.com,,6
康桥温泉,AAAA,江门市,台山市,广东省江门市台山市康桥温泉,"112.614869,22.151716",0750--5817333,www.tskqwq.com,,7
山泉湾温泉,AAAA,江门市,恩平市,广东省江门市恩平市山泉湾,"112.229350,22.327130",0750--7338888,www.sqwwq.com,,8
新会古典家具城,AAA,江门市,新会区,广东省江门市新会区古典家具城,"112.986289,22.513961",0750--6701103,www.gdjjc.cn,,9
鹤山龙潭山生态区,AA,江门市,鹤山市,广东省江门市鹤山市鹤山,"112.943040,22.760425",0750-8633433,,,10
青青世界,AAAA,深圳市,南山区,广东省深圳市南山区青青世界,"113.901494,22.501386",26646988.0,http://www.evergreen-cn.com/01_home/index.asp,"青青世界是""鹏城十景""之一，国家4A级景区，位于深圳市大南山山麓的南山区月亮湾，依山傍海，风景秀丽。
　　青青世界于1995年5月开业，占地面积约20万平方米，是一家以生态环保为主题的休闲度假观光农场，被誉为全新的第四代旅游产品的代表,其年接待能力达300万人。其经营方向是建立一个健康、自然、环保、有文化、具有家庭友善气氛、富有内涵的休闲度假景点，给宾客提供一个“回归自然、返朴归真”的休闲度假处所。服务设施有观光游览、中西餐饮、山林酒店住宿、花卉种植销售等。公司一直秉承着“健康、自然、环保、家庭、文化、艺术”的经营理念，将环保事业与园区景点建设、企业文化相融合。
　　景点有热带雨林、亚玛逊河鱼类展、蝴蝶农场、钓鱼池、瓜果园、陶艺馆、雨林馆、花卉超市、烧烤场、豆腐坊等，另建有欧陆情调的山林木屋、爱巢树屋、SPA别墅、酒店景观客房、田园餐厅、红房子西餐厅、游泳池等。客人不仅可以在这里参观休憩，更可以自己动手参与制陶、种植瓜菜、钓鱼捞鳅等活动。景点还创造了以""好话一句""为代表的厕所文化更是受到社会各界的好评，为各大媒体竞相报导。
1996年夏季，我国著名词作家乔羽先生参观青青世界后深有感触，遂写下了名为《青青世界》的歌，由著名歌手那英在1997年中央电视台的春节联欢晚会上演唱，曾风靡大江南北。台湾的词坛泰斗庄奴先生也为青青世界写下了许多脍炙人口的打竹板词和关于赞美青青世界的歌词。1997年被评为深圳市""鹏城十景""之一；1998年被评为深圳市环境教育基地；1999年被评为广东省环境教育基地；1997-2001、2003年连续六年被评为深圳市旅游景点“先进单位”，2002年荣获深圳市旅游景点“创新及突出贡献奖”，2011年12月荣获国家4A级旅游景区称号。
返朴归真，拥抱自然是许多现代都市人心灵的梦想，也是青青世界的经营理念。“青青”的环保不仅仅是停留在物质意义上，它已上升为一种理念—化腐朽为神奇，用创意打扮家园。这种理念贯穿于“青青”每一景点的建设，已深入到每一个员工的心里。园区随处可风遭受松线虫危害的松树正被用打吊针的方式杀死害虫；一条用3万片废弃的光碟制成的七彩龙；旧风扇罩和旧轮船做的花盆中鲜花盛开；一根根废弃的旧枕木铺就的登山步道；废轮胎砌游乐场的阶梯；废旧的自行车轮胎组成的庭院桌椅；三头用上千个易拉罐做成的“孺子牛”正奋力拉车向前；用警卫人员穿过的皮靴、旧五金废弃物做成“环保大兵”的景点等等这些换一个思维方式，变无用为有趣，利用废物重新创造，组合景点的做法，收到良好的社会环保宣传教育效果。
青青世界同时将“健康、自然、环保、家庭”的理念实现在每一个为游客提供服务的经营项目上。比如：田园中餐厅和红房子西餐厅的优雅环境在深圳是无与伦比的。就餐时可欣赏远处的夕阳、游船、荔枝林，近处的红花绿草。餐厅以粤菜为主，兼以台、潮、川、湘风味菜式，菜式自种、自制、尽显绿色，健康自然的青青文化；这里的26间欧陆风情木屋、7间爱巢树屋、3栋豪华别墅都掩映大苍翠欲滴的山林之中。
在青青世界的分分秒秒里，你可以是游客、美食客、住客，她留给你的是一个“山水间无处不环保”清新感觉。",11
世界之窗,AAAAA,深圳市,南山区,广东省深圳市南山区世界之窗,"113.975633,22.536876",26608000.0,http://www.szwwco.com/,世界之窗是我国著名的缩微景区，以弘扬世界文化为宗旨，是一个把世界奇观、历史遗迹、古今名胜、民间歌舞表演融为一体的人造主题公园。公园中的各个景点都按不同的比例仿建。全园分为世界广场、亚洲区、美洲区、非洲区、大洋洲区、欧洲区、雕塑园和国际街8个主题区，分别展示了法国埃菲尔铁塔、巴黎凯旋门、意大利比萨斜塔、印度泰姬陵、埃及金字塔等一百多个世界著名的文化景观和建筑奇迹。公园中的各个景点，都按不同比例仿建，精巧别致，惟妙惟肖。世界之窗的一个个景点都是一首首凝固的交响诗，那些异彩纷呈的民俗表演则是一幅幅活泼生动的风情画。,12
锦绣中华,AAAAA,深圳市,南山区,广东省深圳市南山区锦绣中华,"113.988217,22.531084",26600626.0,http://www.szjxzh.com.cn/,锦绣中华是目前世界上面积最大、内容最丰富的实景微缩景区，占地四百五十亩，分为锦绣中华和民俗文化村两部分。园区共有82个景点均按中国版图位置分布，比例大部分按1：15建造。 这些景点可以分为三大类：古建筑类、山水名胜类、民居民俗类。,13
仙湖植物园,AAAA,深圳市,罗湖区,广东省深圳市罗湖区仙湖植物园,"114.174956,22.578596",25738430.0,http://www.szbg.ac.cn/,仙湖植物园位于深圳市罗湖区东郊的莲塘仙湖路，东倚梧桐山，西临深圳水库，占地占地546公顷，始建于1983年，1988年正式对外开放。仙湖植物园集植物收集、研究、科学知识普及和旅游观光休闲为一体，是中国观赏植物科学研究的重要基地之一。,14
欢乐谷,AAAAA,深圳市,南山区,广东省深圳市南山区欢乐谷,"113.978730,22.538869",26949168.0,http://sz.happyvalley.cn/,深圳欢乐谷是华侨城集团新一代大型主题乐园，首批国家AAAAA级旅游景区，占地面积35万平方米，总投资20亿元人民币，是一座融参与性、观赏性、娱乐性、趣味性于一体的中国现代主题乐园。1998年开业以来，深圳欢乐谷经过五期的滚动发展，已成为国内投资规模最大、设施最先进的现代乐园。十四年来，深圳欢乐谷共接待海内外游客3000多万人，入园人数连续8年居国内第一，并连续四年荣膺亚太十大主题公园，成为中国主题公园行业的领跑者。,15
园山风景区,AAA,深圳市,龙岗区,广东省深圳市龙岗区园山风景区,"114.239365,22.641222",28676939.0,http://www.szyuanshan.com/,园山风景区属梧桐山脉，位于龙岗区园山街道大康社区，占地10平方公里，山峦起伏，沟谷蜿蜒，植被基本保留自然生态。景区内海拔599米的园山主峰，与另一峰鹅公髻（海拔618米）相距1.58公里，两峰之间夹有大康溪谷和老虎沟两条山谷，这里常年山水顺溪而下，每当山风袭来，林涛滚滚，如虎啸龙吟。,16
光明农场,AAAA,深圳市,宝安区,广东省深圳市宝安区光明农场,"113.838232,22.770611",29930088.0,www.gmncly.com,光明农场大观园是国家农业科技园区重点项目，是一家集农牧业生产、科研、自然生态、农业科学知识普及、旅游观光为一体的园区，观赏奶牛饲养及挤奶过程，与全国最大的“牛”合影，还能体验太空植物及各种农艺新科所带来的视觉享受。同时是国家“3A”级旅游景区、全国农业旅游示范点、广东省青少年科技教育基地、深圳市科普教育基地。项目规划占地1000亩。主要区域有晨光牛雕塑广场、奶牛示范基地、蚕桑科普文化馆、奇异瓜果世界、特种养殖展示基地、生态果园庄、藏獒园、锦锂园、亲牛园、骑士会……,17
野生动物园,AAAA,深圳市,南山区,广东省深圳市南山区野生动物园,"113.972116,22.598884",26625066.0,http://www.szzoo.net/,深圳市野生动物园是全国第一家由企业投资兴办的市政项目。建于山清水秀的深圳西丽圳湖畔，占地面积64万平方米，总投资2.5亿人民币，于1993年9月28日正式开业，从而成为我国第一家集动物园、植物园、科普园等多种园艺、观赏功能为一体的亚热带新型园林生态环境风景区。该园占地一点二平方公里，1993年正式开业，是我国第一座集动物、森林、植物、科普等多种特色和观赏功能为一体的具有亚热带新型园林生态环境系统的风景区。,18
东部华侨城,AAAA,深圳市,盐田区,广东省深圳市盐田区东部华侨城,"114.287666,22.626673",88889888.0,http://www.octeast.com/,"东部华侨城是国内首个集休闲度假、观光旅游、户外运动、科普教育、生态探险等主题于一体的大型综合性国家生态旅游示范区，主要包括大峡谷生态公园、茶溪谷休闲公园、云海谷体育公园、大华兴寺、主题酒店群落、天麓大宅等六大板块，体现了人与自然的和谐共处。华侨城以""规划科学，功能配套齐全，城区环境优美，风尚高尚文明，管理规范先进""为规划，以“让都市人回归自然”为宗旨，定位于建设成为集生态旅游、娱乐休闲、郊野度假、户外运动等多个主题于一体的综合性都市型山地主题休闲度假区。",19
地王观光,AAA,深圳市,罗湖区,广东省深圳市罗湖区地王观光,"114.110562,22.542693",82461339.0,http://www.szmvc.com.cn/,"“地王观光 深港之窗”位于深圳市标志性建筑--地王大厦顶层（楼高384米），是亚洲第一个高层主题观光性景点，是国家3A景区、深圳首批红色旅游景区。不登地王，不知道深圳有多美，门票80元/张，15个小景点一票通玩。
",20
力嘉创意文化产园,AAA,深圳市,龙岗区,广东省深圳市龙岗区力嘉创意文化馆,"114.204704,22.642191",33295678.0,http://www.lkccc.com/,力嘉创意文化产业园位于深圳龙岗区横岗街道，一期占地面积1万多平方米，建筑面积约3万平方米，总投资8000万元，设有毕昇印刷文化博物馆、全球华人名家艺博院、绿色印刷展馆、创意文化广场、数码创印中心等功能区域。,21
观澜湖,AAAAA,深圳市,宝安区,广东省深圳市宝安区观澜湖,"113.876880,22.780712",28020888.0,http://www.missionhillschina.com/zh-CN/,观澜湖休闲旅游区与东莞交界的近20平方公里荒山野岭，发展了汇聚五大洲风格、拥有12个国际级球场的观澜湖高尔夫球会，以216洞的规模，被“健力士世界纪录组织”认定为世界第一大高尔夫球会。,22
山水田园,AAAA,深圳市,龙华区,广东省深圳市龙华区山水田园,"114.107255,22.714141",29679888.0,http://www.szssty.com/,观澜山水田园旅游文化园占地400多亩，位于观澜镇，毗邻世界著名的观澜高尔夫球会，是一座现代都市人的世外桃源，依山傍水，浑然天成，富有真趣。园区交通便利，离深圳国际机场、火车站仅40分钟车程。是深圳唯一一家集餐饮、客房、温泉、康体娱乐于一体的生态旅游景区。,23
欢乐海岸,AAAAA,深圳市,南山区,广东省深圳市南山区欢乐海岸,"113.987940,22.523418",86122311.0,http://www.octharbour.com,"坐落于深圳湾畔的欢乐海岸，是一个以海洋文化为主题、以生态环保为理念、以创新型商业为主体、以创造国际都市滨海生活方式为愿景，并融汇主题商业、时尚娱乐、生态旅游、商务度假等多元业态为一体的城市文化综合体。

欢乐海岸项目占地125万平方米，于2011年8月9日正式试业。",24
海上田园,AAAA,深圳市,宝安区,广东省深圳市宝安区海上田园,"113.774204,22.727234",27259888.0,http://www.szwaterlands.com/,海上田园旅游区行政上属于深圳市宝安区沙井街道，位于深圳西部珠江入海口东岸，面积约173万平方米。它以珠江口岸的亚热带滨海湿地生态系统为依托，集旅游观光、休闲度假、会议培训、生态科普为一体，以迷人的景观、多变的布局将一片沿海滩变成了旅游胜地。,25
中丝园,AAA,深圳市,龙岗区,广东省深圳市龙岗区中丝园,"114.147820,22.604646",89382222.0,http://www.silkgo.com.cn/,南岭中国丝绸文化产业创意园以丝绸文化为载体，以文化创意为理念，积聚设计制作、科研创新、展示交易、旅游休闲、情景购物、青少年素质教育、互动体验等功能为一体的国家级高档丝绸与刺绣制品及其延伸产品的时尚创意园区。,26
